Rank,Team,Country,Value ($M),"% change
on year",Revenue ($M)
1,Real Madrid,Spain,"3,440",4,675
2,Barcelona,Spain,"3,200",23,627
3,Manchester United,England,"2,810",-11,551
4,Bayern Munich,Germany,"1,850",41,561
5,Arsenal,England,"1,331",0,370
6,Chelsea,England,868,-4,394
7,Manchester City,England,863,25,411
8,Milan,Italy,856,-9,343
9,Juventus,Italy,850,22,354
10,Liverpool,England,691,8,313
11,Borussia Dortmund,Germany,599,31,333
12,Schalke 04,Germany,580,16,258
13,Tottenham Hotspur,England,514,-1,224
14,Internazionale,Italy,483,20,219
15,Paris Saint-Germain,France,415,N/A,518
16,Galatasaray,Turkey,347,N/A,204
17,Atlético Madrid,Spain,328,33,156
18,Hamburger SV,Germany,326,9,176
19,Roma,Italy,307,19,162
20,Napoli,Italy,296,-10,156
