Rank,Team,Country,Value ($M),"Debt as
% of value","% change
on year",Revenue ($M)
1,Real Madrid,Spain,"3,260",4,-5,746
2,Barcelona,Spain,"3,160",3,-1,657
3,Manchester United,England,"3,100",20,10,703
4,Bayern Munich,Germany,"2,350",0,27,661
5,Manchester City,England,"1,380",0,60,562
6,Chelsea,England,"1,370",0,58,526
7,Arsenal,England,"1,310",30,-2,487
8,Liverpool,England,982,10,39,415
9,Juventus,Italy,837,9,-2,379
10,Milan,Italy,775,44,-9,339
11,Borussia Dortmund,Germany,700,6,17,355
12,Paris Saint-Germain,France,634,0,53,643
13,Tottenham Hotspur,England,600,9,17,293
14,Schalke 04,Germany,572,0,-1,290
15,Internazionale,Italy,439,56,-9,222
16,Atlético Madrid,Spain,436,53,33,231
17,Napoli,Italy,353,0,19,224
18,Newcastle United,England,349,0,N/A,210
19,West Ham United,England,309,12,N/A,186
20,Galatasaray,Turkey,294,17,-15,220
