Rank,Team,Country,"Value in
millions","Debt as
% of value","% change
on year",Revenue ($M)
1,Manchester United,England,"3,690",6,11,850
2,Barcelona,Spain,"3,635",6,2,688
3,Real Madrid,Spain,"3,580",3,-2,688
4,Bayern Munich,Germany,"2,713",0,1,657
5,Manchester City,England,"2,083",5,8,650
6,Arsenal,England,"1,932",16,-4,572
7,Chelsea,England,"1,845",0,11,583
8,Liverpool,England,"1,492",7,-4,523
9,Juventus,Italy,"1,258",7,-3,379
10,Tottenham Hotspur,England,"1,058",17,4,377
11,Paris Saint-Germain,France,841,0,3,578
12,Borussia Dortmund,Germany,808,0,-3,315
13,Milan,Italy,802,73,-3,238
14,Atlético Madrid,Spain,732,9,16,234
15,West Ham United,England,634,11,17,213
16,Schalke 04,Germany,629,7,-4,249
17,Roma,Italy,569,3,-2,242
18,Internazionale,Italy,537,37,-4,199
19,Leicester City,England,413,0,-,191
20,Napoli,Italy,379,0,-4,158
