Rank,Team,Country,"Value
in millions","Debt as
% of value","% change
on year",Revenue ($M)
1,Manchester United,England,"4,123",18,12,737
2,Real Madrid,Spain,"4,088",2,14,735
3,Barcelona,Spain,"4,060",1,12,706
4,Bayern Munich,Germany,"3,063",0,13,640
5,Manchester City,England,"2,474",0,19,575
6,Arsenal,England,"2,238",12,16,531
7,Chelsea,England,"2,062",0,12,466
8,Liverpool,England,"1,944",5,30,462
9,Juventus,Italy,"1,472",6,17,442
10,Tottenham Hotspur,England,"1,237",19,17,387
11,Paris Saint-Germain,France,917,0,16,529
12,Borussia Dortmund,Germany,901,0,12,362
13,Atlético Madrid,Spain,848,3,16,297
14,West Ham United,England,754,8,19,232
15,Schalke 04,Germany,707,11,12,251
16,Roma,Italy,618,44,9,191
17,Milan,Italy,612,101,-24,213
18,Internazionale,Italy,606,58,13,285
19,Leicester City,England,500,0,21,295
20,Napoli,Italy,471,0,24,219
