"Rank
2022","Rank
2021",Team,Country,"Value in
$ millions","% change
on year","Debt as
% of value",Revenue ($M),"Operating
income ($M)"
1,2,Real Madrid,Spain,"5,100",7,11,761,90
2,1,Barcelona,Spain,"5,000",5,15,692,-17
3,4,Manchester United,England,"4,600",10,13,663,128
4,5,Liverpool,England,"4,450",9,4,654,104
5,3,Bayern Munich,Germany,"4,275",1,0,726,102
6,6,Manchester City,England,"4,250",6,0,766,156
7,9,Paris Saint-Germain,France,"3,200",28,3,661,-102
8,7,Chelsea,England,"3,100",-3,0,586,45
9,11,Juventus,Italy,"2,450",26,11,515,26
10,10,Tottenham Hotspur,England,"2,350",2,45,483,127
11,8,Arsenal,England,"2,050",-27,1,435,53
12,12,Borussia Dortmund,Germany,"1,800",-5,0,402,20
13,13,Atlético Madrid,Spain,"1,500",50,11,396,45
14,16,Milan,Italy,"1,200",115,4,257,-16
15,14,Internazionale,Italy,"1,000",35,41,393,3
16,15,Everton,England,940,43,13,259,-20
17,19,Leicester City,England,925,103,9,304,16
18,18,West Ham United,England,900,77,8,259,42
19,20+,Leeds United,England,800,-,0,229,51
20,20+,Aston Villa,England,750,-,0,236,12
