"Rank
2024","Rank
2023",Team,Country,"Value in
$ billions","% change
on year","Debt as
% of value",Revenue ($M),"Operating
income ($M)"
1,1,Real Madrid,Spain,6.6,9,15,873,76
2,2,Manchester United,England,6.55,9,10,785,187
3,3,Barcelona,Spain,5.6,2,31,840,-145
4,4,Liverpool,England,5.37,2,3,719,102
5,5,Manchester City,England,5.1,2,0,869,147
6,6,Bayern Munich,Germany,5.0,3,0,781,84
7,7,Paris Saint-Germain,France,4.4,4,2,754,-126
8,9,Tottenham Hotspur,England,3.2,14,33,665,161
9,8,Chelsea,England,3.13,1,20,620,0
10,10,Arsenal,England,2.6,15,1,560,140
11,11,Juventus,Italy,2.05,-5,2,459,11
12,12,Borussia Dortmund,Germany,1.98,2,1,441,75
13,13,Atlético Madrid,Spain,1.6,4,7,382,20
14,14,Milan,Italy,1.43,1,0,405,81
15,17,Los Angeles,United States,1.2,20,11,140,9
16,15,West Ham United,England,1.1,2,6,289,66
17,-,Inter Miami,United States,1.03,72,15,118,8
18,16,Internazionale,Italy,1.0,-3,44,398,39
19,18,LA Galaxy,United States,0.95,3,0,95,3
20,19,Atlanta United,United States,0.9,6,0,95,9
