"Rank
2025","Rank
2024",Team,Country,"Value in
$ billions","% change
on year",Revenue ($M)
1,1,Real Madrid,Spain,6.75,2,"1,129"
2,2,Manchester United,England,6.6,1,834
3,3,Barcelona,Spain,5.65,2,821
4,4,Liverpool,England,5.4,1,773
5,5,Manchester City,England,5.3,4,901
6,6,Bayern Munich,Germany,5.1,2,827
7,7,Paris Saint-Germain,France,4.6,5,870
8,10,Arsenal,England,3.4,31,771
9,8,Tottenham Hotspur,England,3.3,3,666
10,9,Chelsea,England,3.25,4,591
11,11,Juventus,Italy,2.15,5,389
12,12,Borussia Dortmund,Germany,2.05,4,555
13,13,Atlético Madrid,Spain,1.7,6,442
14,14,Milan,Italy,1.5,5,433
15,15,LAFC,United States,1.25,4,150
16,17,Inter Miami,United States,1.2,17,180
17,18,Internazionale,Italy,1.15,15,430
18,16,West Ham United,England,1.125,2,349
19,–,Newcastle United,England,1.1,38,403
20,19,LA Galaxy,United States,1.0,5,95
21,20,Atlanta United,United States,0.975,8,105
22,–,Aston Villa,England,0.9,13,343
23,–,NYCFC,United States,0.875,3,78
24,–,Brighton & Hove Albion,England,0.86,18,280
25,–,Fulham,England,0.85,8,229
26,–,Austin,United States,0.825,10,90
27,–,Roma,Italy,0.81,N/A,273
28,–,Seattle Sounders,United States,0.8,2,83
29,–,Crystal Palace,England,0.79,1,221
30,–,D.C. United,United States,0.785,1,90
